year,total_candles,start_price,end_price,high_price,low_price,avg_range_pips,max_range_pips,pct_bullish,year_return_pct
2021,1604,1.22396,1.13686,1.23494,1.11859,23.057231920199488,147.89999999999858,48.87780548628429,-7.116245628942119
2022,1609,1.1369,1.07054,1.14948,0.95357,37.6517091361094,242.90000000000035,49.28527035425731,-5.83692497141349
2023,1589,1.0697,1.10361,1.12756,1.04483,26.00881057268722,159.1000000000009,50.78665827564506,3.170047676918751
2024,1612,1.10427,1.03531,1.1214,1.03325,21.705210918114147,148.50000000000028,51.240694789081886,-6.244849538609229
2025,1606,1.03503,1.17455,1.19186,1.01772,30.815815691158143,196.39999999999878,52.490660024906596,13.479802517801426
